Designator,Mid X,Mid Y,Rotation,Layer
D71,135.25,-137.974,0.0,bottom
D72,116.65,-137.994,0.0,bottom
D73,97.54,-137.944,0.0,bottom
D74,78.095,-138.004,0.0,bottom
D75,47.51,-137.974,0.0,bottom
D76,38.05,-157.206,180.0,bottom
D77,61.785,-157.266,180.0,bottom
D78,85.66,-157.216,180.0,bottom
D79,156.67,-157.236,180.0,bottom
D8,215.8,-52.6,0.0,bottom
D80,228.17,-157.24,180.0,bottom
D81,251.99,-157.2,180.0,bottom
D82,275.66,-157.29,180.0,bottom
D83,299.355,-157.206,180.0,bottom
D84,325.51,-157.22,180.0,bottom
D85,344.22,-157.26,180.0,bottom
D86,363.43,-157.22,180.0,bottom
D87,344.62,-138.086,0.0,bottom
D9,197.35,-52.444,0.0,bottom
DIODE1,43.08,-41.03,90.0,bottom
DIODE10,252.08,-41.03,90.0,bottom
DIODE11,271.08,-41.03,90.0,bottom
DIODE12,290.08,-41.03,90.0,bottom
DIODE13,309.08,-41.03,90.0,bottom
DIODE14,332.83,-41.03,90.0,bottom
DIODE15,351.83,-41.03,90.0,bottom
DIODE16,370.83,-41.03,90.0,bottom
DIODE17,43.08,-69.53,90.0,bottom
DIODE18,62.08,-69.53,90.0,bottom
DIODE19,81.08,-69.53,90.0,bottom
DIODE2,81.08,-41.03,90.0,bottom
DIODE20,100.08,-69.53,90.0,bottom
DIODE21,119.08,-69.53,90.0,bottom
DIODE22,138.08,-69.53,90.0,bottom
DIODE23,157.08,-69.53,90.0,bottom
DIODE24,176.08,-69.53,90.0,bottom
DIODE25,195.08,-69.53,90.0,bottom
DIODE26,214.08,-69.53,90.0,bottom
DIODE27,233.08,-69.53,90.0,bottom
DIODE28,252.08,-69.53,90.0,bottom
DIODE29,271.08,-69.53,90.0,bottom
DIODE3,100.08,-41.03,90.0,bottom
DIODE30,299.58,-69.53,90.0,bottom
DIODE31,332.83,-69.53,90.0,bottom
DIODE32,351.83,-69.53,90.0,bottom
DIODE33,370.83,-69.53,90.0,bottom
DIODE34,47.83,-88.53,90.0,bottom
DIODE35,71.58,-88.53,90.0,bottom
DIODE36,90.58,-88.53,90.0,bottom
DIODE37,109.58,-88.53,90.0,bottom
DIODE38,128.58,-88.53,90.0,bottom
DIODE39,147.58,-88.53,90.0,bottom
DIODE4,119.08,-41.03,90.0,bottom
DIODE40,166.58,-88.53,90.0,bottom
DIODE41,185.58,-88.53,90.0,bottom
DIODE42,204.58,-88.53,90.0,bottom
DIODE43,223.58,-88.53,90.0,bottom
DIODE44,242.58,-88.53,90.0,bottom
DIODE45,261.58,-88.53,90.0,bottom
DIODE46,280.58,-88.53,90.0,bottom
DIODE47,304.33,-88.53,90.0,bottom
DIODE48,332.83,-88.53,90.0,bottom
DIODE49,351.83,-88.53,90.0,bottom
DIODE5,138.08,-41.03,90.0,bottom
DIODE50,370.83,-88.53,90.0,bottom
DIODE51,50.205,-107.53,90.0,bottom
DIODE52,76.33,-107.53,90.0,bottom
DIODE53,95.33,-107.53,90.0,bottom
DIODE54,114.33,-107.53,90.0,bottom
DIODE55,133.33,-107.53,90.0,bottom
DIODE56,152.33,-107.53,90.0,bottom
DIODE57,171.33,-107.53,90.0,bottom
DIODE58,190.33,-107.53,90.0,bottom
DIODE59,209.33,-107.53,90.0,bottom
DIODE6,166.58,-41.03,90.0,bottom
DIODE60,228.33,-107.53,90.0,bottom
DIODE61,247.33,-107.53,90.0,bottom
DIODE62,266.33,-107.53,90.0,bottom
DIODE63,297.205,-107.53,90.0,bottom
DIODE64,54.955,-126.53,90.0,bottom
DIODE65,85.83,-126.53,90.0,bottom
DIODE66,104.83,-126.53,90.0,bottom
DIODE67,123.83,-126.53,90.0,bottom
DIODE68,142.83,-126.53,90.0,bottom
DIODE69,161.83,-126.53,90.0,bottom
DIODE7,185.58,-41.03,90.0,bottom
DIODE70,180.83,-126.53,90.0,bottom
DIODE71,199.83,-126.53,90.0,bottom
DIODE72,218.83,-126.53,90.0,bottom
DIODE73,237.83,-126.53,90.0,bottom
DIODE74,256.83,-126.53,90.0,bottom
DIODE75,292.455,-126.53,90.0,bottom
DIODE76,351.83,-126.53,90.0,bottom
DIODE77,45.455,-145.53,90.0,bottom
DIODE78,69.205,-145.53,90.0,bottom
DIODE79,92.955,-145.53,90.0,bottom
DIODE8,204.58,-41.03,90.0,bottom
DIODE80,164.205,-145.53,90.0,bottom
DIODE81,235.455,-145.53,90.0,bottom
DIODE82,259.205,-145.53,90.0,bottom
DIODE83,282.955,-145.53,90.0,bottom
DIODE84,306.705,-145.53,90.0,bottom
DIODE85,332.83,-145.53,90.0,bottom
DIODE86,351.83,-145.53,90.0,bottom
DIODE87,370.83,-145.53,90.0,bottom
DIODE88,360.32,-22.3885,90.0,bottom
DIODE9,223.58,-41.03,90.0,bottom
J1,402.12,-89.8225,0.0,top
SW1,35.46,-40.99,0.0,top
SW10,244.46,-40.99,0.0,top
SW11,263.46,-40.99,0.0,top
SW12,282.46,-40.99,0.0,top
SW13,301.46,-40.99,0.0,top
SW14,325.21,-40.99,0.0,top
SW15,344.21,-40.99,0.0,top
SW16,363.21,-40.99,0.0,top
SW17,35.46,-69.49,0.0,top
SW18,54.46,-69.49,0.0,top
SW19,73.46,-69.49,0.0,top
SW2,73.46,-40.99,0.0,top
SW20,92.46,-69.49,0.0,top
SW21,111.46,-69.49,0.0,top
SW22,130.46,-69.49,0.0,top
SW23,149.46,-69.49,0.0,top
SW24,168.46,-69.49,0.0,top
SW25,187.46,-69.49,0.0,top
SW26,206.46,-69.49,0.0,top
SW27,225.46,-69.49,0.0,top
SW28,244.46,-69.49,0.0,top
SW29,263.46,-69.49,0.0,top
SW3,92.46,-40.99,0.0,top
SW30,291.96,-69.49,0.0,top
SW31,325.21,-69.49,0.0,top
SW32,344.21,-69.49,0.0,top
SW33,363.21,-69.49,0.0,top
SW34,40.21,-88.49,0.0,top
SW35,63.96,-88.49,0.0,top
SW36,82.96,-88.49,0.0,top
SW37,101.96,-88.49,0.0,top
SW38,120.96,-88.49,0.0,top
SW39,139.96,-88.49,0.0,top
SW4,111.46,-40.99,0.0,top
SW40,158.96,-88.49,0.0,top
SW41,177.96,-88.49,0.0,top
SW42,196.96,-88.49,0.0,top
SW43,215.96,-88.49,0.0,top
SW44,234.96,-88.49,0.0,top
SW45,253.96,-88.49,0.0,top
SW46,272.96,-88.49,0.0,top
SW47,296.71,-88.49,0.0,top
SW48,325.21,-88.49,0.0,top
SW49,344.21,-88.49,0.0,top
SW5,130.46,-40.99,0.0,top
SW50,363.21,-88.49,0.0,top
SW51,42.585,-107.49,0.0,top
SW52,68.71,-107.49,0.0,top
SW53,87.71,-107.49,0.0,top
SW54,106.71,-107.49,0.0,top
SW55,125.71,-107.49,0.0,top
SW56,144.71,-107.49,0.0,top
SW57,163.71,-107.49,0.0,top
SW58,182.71,-107.49,0.0,top
SW59,201.71,-107.49,0.0,top
SW6,158.96,-40.99,0.0,top
SW60,220.71,-107.49,0.0,top
SW61,239.71,-107.49,0.0,top
SW62,258.71,-107.49,0.0,top
SW63,289.585,-107.49,0.0,top
SW64,47.335,-126.49,0.0,top
SW65,78.21,-126.49,0.0,top
SW66,97.21,-126.49,0.0,top
SW67,116.21,-126.49,0.0,top
SW68,135.21,-126.49,0.0,top
SW69,154.21,-126.49,0.0,top
SW7,177.96,-40.99,0.0,top
SW70,173.21,-126.49,0.0,top
SW71,192.21,-126.49,0.0,top
SW72,211.21,-126.49,0.0,top
SW73,230.21,-126.49,0.0,top
SW74,249.21,-126.49,0.0,top
SW75,284.835,-126.49,0.0,top
SW76,344.21,-126.49,0.0,top
SW77,37.835,-145.49,0.0,top
SW78,61.585,-145.49,0.0,top
SW79,85.335,-145.49,0.0,top
SW8,196.96,-40.99,0.0,top
SW80,156.585,-145.49,0.0,top
SW81,227.835,-145.49,0.0,top
SW82,251.585,-145.49,0.0,top
SW83,275.335,-145.49,0.0,top
SW84,299.085,-145.49,0.0,top
SW85,325.21,-145.49,0.0,top
SW86,344.21,-145.49,0.0,top
SW87,363.21,-145.49,0.0,top
SW88,371.65,-21.85,180.0,top
SW9,215.96,-40.99,0.0,top
